Sl. No,State/UT,District,Male - Total Male,Male - Male_Below 12 years,Male - Male_12 years & Above_Below 16 years,Male - Male_16 years & Above_Below 18 years,Male - Male_Children,Male - Male_18 years & Above,Female - Total Female,Female - Female_Below 12 years,Female - Female_12 years & Above_Below 16 years,Female - Female_16 years & Above_Below 18 years,Female - Female_Children,Female - Female_18 years & Above,Transgender - Total Transgender,Transgender - Transgender_Below 12 years,Transgender - Transgender_12 years & Above_Below 16 years,Transgender - Transgender_16 years & Above_Below 18 years,Transgender - Transgender_Children,Transgender - Transgender_18 years & Above,Total - Grand Total,Total - Total_Below 12 years,Total - Total_12 years & Above_Below 14 years,Total - Total_14 years & Above_Below 18 years,Total - Total_Children,Total - Total_18 years & Above
1,Andhra Pradesh,Alluri Sitharama Raju,36,0,8,0,8,28,80,0,8,46,54,26,1,0,0,0,0,1,117,0,16,46,62,55
2,Andhra Pradesh,Anakapalli,89,4,8,8,20,69,197,5,14,37,56,141,0,0,0,0,0,0,286,9,22,45,76,210
3,Andhra Pradesh,Anantapuramu,217,4,19,15,38,179,651,0,54,166,220,431,0,0,0,0,0,0,868,4,73,181,258,610
4,Andhra Pradesh,Annamayya,91,11,4,16,31,60,292,18,45,72,135,157,0,0,0,0,0,0,383,29,49,88,166,217
5,Andhra Pradesh,Bapatla,121,4,9,11,24,97,297,2,18,59,79,218,4,3,0,0,3,1,422,9,27,70,106,316
6,Andhra Pradesh,Chittoor,114,2,9,7,18,96,538,1,49,127,177,361,0,0,0,0,0,0,652,3,58,134,195,457
7,Andhra Pradesh,Dr BR Ambedkar Konaseema,165,8,10,5,23,142,267,11,29,37,77,190,0,0,0,0,0,0,432,19,39,42,100,332
8,Andhra Pradesh,East Godavari,208,7,15,14,36,172,403,6,43,90,139,264,0,0,0,0,0,0,611,13,58,104,175,436
9,Andhra Pradesh,Eluru,227,7,8,12,27,200,413,7,22,69,98,315,0,0,0,0,0,0,640,14,30,81,125,515
10,Andhra Pradesh,Guntakal Railway,4,0,1,0,1,3,6,0,1,0,1,5,0,0,0,0,0,0,10,0,2,0,2,8
11,Andhra Pradesh,Guntur,343,13,38,24,75,268,688,7,89,78,174,514,0,0,0,0,0,0,1031,20,127,102,249,782
12,Andhra Pradesh,Kakinada,157,0,4,5,9,148,389,0,17,77,94,295,0,0,0,0,0,0,546,0,21,82,103,443
13,Andhra Pradesh,Krishna,188,19,7,6,32,156,368,30,13,42,85,283,0,0,0,0,0,0,556,49,20,48,117,439
14,Andhra Pradesh,Kurnool,102,10,7,5,22,80,238,21,33,40,94,144,0,0,0,0,0,0,340,31,40,45,116,224
15,Andhra Pradesh,Nandyal,133,15,7,6,28,105,300,17,36,43,96,204,0,0,0,0,0,0,433,32,43,49,124,309
16,Andhra Pradesh,NTR,486,14,36,21,71,415,861,9,33,130,172,689,0,0,0,0,0,0,1347,23,69,151,243,1104
17,Andhra Pradesh,Palnadu,133,28,12,5,45,88,364,22,49,40,111,253,0,0,0,0,0,0,497,50,61,45,156,341
18,Andhra Pradesh,Parvathipuram Manyam,45,3,3,3,9,36,82,6,0,7,13,69,2,1,1,0,2,0,129,10,4,10,24,105
19,Andhra Pradesh,Prakasam,212,26,32,15,73,139,474,22,62,67,151,323,0,0,0,0,0,0,686,48,94,82,224,462
20,Andhra Pradesh,Sri Potti Sriramulu Nellore,229,35,22,13,70,159,542,21,90,89,200,342,0,0,0,0,0,0,771,56,112,102,270,501
21,Andhra Pradesh,Sri Sathya Sai,117,2,5,28,35,82,424,3,62,103,168,256,0,0,0,0,0,0,541,5,67,131,203,338
22,Andhra Pradesh,Srikakulam,159,14,13,15,42,117,391,17,14,88,119,272,0,0,0,0,0,0,550,31,27,103,161,389
23,Andhra Pradesh,Tirupati,224,30,20,11,61,163,615,20,63,134,217,398,0,0,0,0,0,0,839,50,83,145,278,561
24,Andhra Pradesh,Viiayawada Railway,22,0,0,0,0,22,13,0,0,0,0,13,2,1,0,1,2,0,37,1,0,1,2,35
