district,missing_rate,female_ratio,literacy_rate,workers_ratio,male_total,female_total,child_total,risk_score,state
0,0.0,0.0,0.0,0.0,644.8421052631579,442.9789473684211,232.82105263157894,0.004918191656808294,Hra Pradesh
adilabad,0.000985285947185887,0.5003730065127484,0.5411228280350601,0.4828717962935738,402.0,237.0,45.0,0.5970161627307653,Telangana
agra,0.0006963629577664875,0.4647970929644426,0.6066153299189803,0.3145299501199082,448.0,280.0,153.5,0.457526300201212,Uttar Pradesh
ahmadnagar,0.008979821611693877,0.4843180703118689,0.6937661657890468,0.4852548634111199,6008.0,3644.0,760.0,0.6085231542472298,Maharashtra
ahmedabad,0.001797638310034841,0.47491920476558463,0.7534780243200067,0.35969934400438025,1810.8,1257.4,310.6,0.8618824574485424,Gujarat
aizawl,0.0,0.5022095431279336,0.8508302336445096,0.4362529945617011,0.0,0.0,0.0,0.7734261687321412,Mizoram
ajmer,0.005881846294288811,0.4873951434194898,0.5910345591184382,0.40793681273160587,2056.5,1538.0,603.5,0.9122639616807477,Rajasthan
akola,0.006930020499113965,0.48600754394108625,0.7780342531531402,0.42348059932543364,1868.0,1106.0,0.0,0.3105422974559726,Maharashtra
alappuzha,0.0055680467216921966,0.5238522240692098,0.8707616215705599,0.3780783714926621,1711.0,1092.0,424.0,0.917580719237322,Kerala
aligarh,0.0007236572994463857,0.4686840021568425,0.5695781772394322,0.3196506481279102,393.0,236.0,80.0,0.5583424324193061,Uttar Pradesh
alirajpur,0.01012918037392067,0.5026851888685718,0.2877287897514263,0.5031515818265868,919.0,828.0,234.0,0.9999971310512253,Madhya Pradesh
almora,0.002417212262126232,0.5324045069445114,0.7011932415109252,0.4790491979193775,229.0,127.0,73.0,0.9201277846739243,Uttarakh
alwar,0.0031877521520622598,0.47225597881866943,0.5940037216477477,0.46501327235281675,1671.0,1100.0,648.0,0.8686389616111857,Rajasthan
ambala,0.005476610715471821,0.4693995657375814,0.7249745203172775,0.3298081269109762,950.0,512.0,62.0,0.8808714158539761,Haryana
ambedkar nagar,0.0008584369430606459,0.494384224784477,0.6201036078415673,0.32837146689086394,287.0,200.0,103.0,0.504287011440726,Uttar Pradesh
amravati,0.00477925728090078,0.48734769053937327,0.7796149831483722,0.42802338282363,2010.0,1256.0,51.0,0.2910237439603128,Maharashtra
amreli,0.0010272491188646638,0.4907845118512208,0.6574201388200952,0.4339871482442758,212.0,156.0,0.0,0.9026428517099973,Gujarat
amritsar,0.0010954456382654874,0.47065833258386547,0.6764362481209769,0.3685197795279637,375.5,270.0,237.5,0.9242461048381443,Punjab
an,0.0009837609362168492,0.4804794659645585,0.7412527565470233,0.40367746667654203,288.53846153846155,198.53846153846155,43.46153846153846,0.6858293297148668,Gujarat
anantapur,0.0023893159513563365,0.49413865902437254,0.5662524368143473,0.49891991175032124,1321.0,986.0,620.5,0.9660135025413528,Hra Pradesh
anantnag,0.0008483377153591604,0.48106873880588713,0.5057347231647217,0.36125603972218207,145.0,71.5,35.5,0.9367928930448973,Jammu Kashmir
anjaw,0.0007987465842511647,0.4563707658147116,0.4719610714791893,0.49610242358388057,4.0,0.0,0.0,0.8790863355845208,Arunachal Pradesh
anugul,0.0,0.4852353666645471,0.6825574393890508,0.4133390798236173,0.0,0.0,0.0,0.5578821760218654,Odisha
anuppur,0.014639507900120799,0.4939998958940896,0.5827194866243925,0.4624317805981285,1486.0,1109.0,621.0,0.8420047005201817,Madhya Pradesh
araria,0.0021061908490713735,0.47953153559453815,0.4253027402137383,0.3805323646689802,745.0,656.0,652.0,0.9776835469705133,Bihar
ariyalur,0.00625985339822811,0.5036349474230819,0.6366509735141622,0.4766907671805578,623.0,495.0,350.0,0.9968943788528715,Tamil Nadu
arwal,0.001489651045371277,0.4813431824245944,0.5512661180892154,0.3372424351816313,134.0,113.0,136.0,0.9049391490534059,Bihar
ashoknagar,0.010483502722486594,0.47479324222461783,0.5551119373401762,0.3730692450693492,1236.0,860.0,459.0,0.857607773103603,Madhya Pradesh
auraiya,0.0005086049105879422,0.46356226147026736,0.6747413096346984,0.3204121648804497,108.0,58.0,20.0,0.2572308663101318,Uttar Pradesh
aurangabad,0.0028035523532673814,0.4804506945456277,0.6268139332361785,0.37768540469780965,1317.0,681.25,82.5,0.7451502724848407,Bihar
azamgarh,0.000900518105603316,0.5047578920538813,0.60077357332052,0.29736841591941593,575.0,408.0,52.0,0.6387179320873432,Uttar Pradesh
ba,0.001319862369614765,0.463226279725021,0.5573699156945888,0.3899550408189351,342.22222222222223,219.66666666666666,145.11111111111111,0.5369983641084796,Odisha
badgam,0.002007552515667201,0.47191556826247605,0.44530842658989445,0.28506457754280295,222.0,136.0,0.0,0.9949700435871779,Jammu Kashmir
bagalkot,0.0022031280975773194,0.4972297952323903,0.589184189248113,0.4329038942676076,604.0,381.0,99.0,0.8314459231492343,Karnataka
bageshwar,0.0034640567512099537,0.5216354108150121,0.690590154599112,0.4757173968249082,137.0,76.0,44.0,0.9204184840334886,Uttarakh
baghpat,0.0022446778078398354,0.46274427342661206,0.6123872643218055,0.3197848429221333,425.0,267.0,85.0,0.4425458074488741,Uttar Pradesh
bahraich,0.0011719034290153497,0.47132275969677706,0.4009391779354543,0.3303465777607275,629.0,338.0,359.0,0.9999876229151361,Uttar Pradesh
baksa,0.002433535961639315,0.49337683867063126,0.6029387153645764,0.4281304107570455,308.0,239.0,59.0,0.8867693907101306,Assam
balaghat,0.013405353229085485,0.5050954987312672,0.6743987476038639,0.5247781921351498,3054.0,2343.0,888.0,0.788699034297332,Madhya Pradesh
balangir,0.0,0.49660490589127815,0.5623175785037814,0.43699351787783725,0.0,0.0,0.0,0.6133404364702268,Odisha
ballia,0.001615155205167812,0.4836362042537535,0.6060885728448959,0.31467719661927035,760.0,478.0,167.0,0.5424420506812351,Uttar Pradesh
balrampur,0.0015815964139210745,0.4812029795244954,0.40413791819571687,0.35382574761537977,430.0,374.0,148.0,0.9972179426443853,Uttar Pradesh
banas kantha,0.0027984247144784004,0.4839365795162708,0.5463610709288814,0.4001274152332987,1162.0,904.0,434.0,0.999996608357639,Gujarat
bangalore,0.0042289413431381975,0.4779780307769506,0.7807759892349997,0.44139733812147336,6032.0,3594.5,550.0,0.7421543698352067,Karnataka
banka,0.0014686351367251362,0.47554580066572866,0.47441446497700224,0.37895322452786884,369.0,338.0,330.0,0.9385039250701389,Bihar
bankura,0.00906951148566055,0.4889458983494195,0.6208491511880143,0.4076599658462235,4593.0,3124.5,1422.0,0.9093813141557463,West Bengal
banswara,0.008183183718080892,0.49498660628600516,0.46139077655724525,0.5099202496821948,1911.0,1569.0,894.0,0.9764602191170747,Rajasthan
baramula,0.001081809282379416,0.46953143677972775,0.5408014967674862,0.3017740385044626,129.0,129.0,100.0,0.9233588902887324,Jammu Kashmir
baran,0.01075742862813969,0.481543727075334,0.5670040196114512,0.4519163691827063,1720.0,1392.0,570.0,0.917931656466041,Rajasthan
barddhaman,0.004427184198171875,0.48599201587340457,0.6799047834141425,0.3772241315036884,4624.5,3459.0,1829.0,0.86937424501106,West Bengal
bareilly,0.0005150006648672953,0.46999219262653935,0.49271180675840237,0.31516588476784363,339.5,202.5,128.0,0.7629305777336117,Uttar Pradesh
bargarh,0.0,0.49423900678816274,0.6641550577044466,0.5144907527738303,0.0,0.0,0.0,0.5497831501138252,Odisha
barmer,0.002610327069460732,0.47421162776317705,0.4563884949060029,0.4618268029469792,920.0,688.0,281.0,0.9540669346775102,Rajasthan
barnala,0.0,0.4668218233598141,0.6042228144147956,0.3515054733034774,0.0,0.0,0.0,0.9726607331721892,Punjab
barpeta,0.0002096385426770156,0.4880770325373667,0.529668367557814,0.33172927607222863,51.333333333333336,32.666666666666664,0.0,0.9533210368251126,Assam
barwani,0.0101804909929573,0.49538235966868727,0.39680607498046366,0.4718276677434787,1833.0,1505.0,643.0,0.9455224913609035,Madhya Pradesh
bastar,0.005005307088012925,0.505740522035467,0.4605600485140451,0.5141038169429784,928.5,745.0,379.5,0.8069230429068082,Chhattisgarh
basti,0.001010185542461703,0.490651111154393,0.5655521849781535,0.3179953125710094,344.0,245.0,108.0,0.6483725439911342,Uttar Pradesh
bathinda,0.0024626525953106936,0.4647579265767631,0.6084643776669487,0.3960936965484957,470.0,339.0,329.0,0.9629492444595248,Punjab
baudh,0.0,0.49763352237953407,0.6156740607758601,0.49745218309827227,0.0,0.0,0.0,0.5771357879155491,Odisha
begusarai,0.0022737858339822075,0.47226447976984665,0.5213437552284247,0.3158286655528404,855.0,743.0,956.0,0.9313878247906926,Bihar
belgaum,0.0013034930526765734,0.4930471010391741,0.6385457043920061,0.4405475618459133,886.0,588.0,126.0,0.7960795742013644,Karnataka
bellary,0.0013270070161003134,0.4956550103054112,0.5796395246667305,0.45538704922745094,511.0,259.0,90.0,0.8264670761059862,Karnataka
betul,0.013353515280678123,0.49266517790831565,0.596541620275213,0.49955502290902026,2798.0,2179.0,732.0,0.8304526875807751,Madhya Pradesh
bhadrak,0.003065544567154049,0.49529222212559343,0.72635804604149,0.3110851024704299,614.0,478.5,280.0,0.4888848189724824,Odisha
bhagalpur,0.0024627894346910357,0.4681410615564201,0.5178364627163514,0.32376687341947996,965.0,805.0,740.0,0.9289639649065083,Bihar
bhara,0.014437436307365712,0.49554040791979564,0.7496746738824361,0.4976156636402868,2588.6666666666665,1511.3333333333333,295.3333333333333,0.4198211410698591,Maharashtra
