state,district
hra pradesh,alluri sitharama raju
hra pradesh,annamayya
hra pradesh,eluru
hra pradesh,palnadu
hra pradesh,parvathipuram manyam
hra pradesh,sri sathya sai
hra pradesh,tirupati
hra pradesh,viiayawada railway
arunachal pradesh,crime branch
arunachal pradesh,longding
arunachal pradesh,namsai
arunachal pradesh,kra dadi
arunachal pradesh,leparada
arunachal pradesh,shiyomi
assam,stf
assam,biswanath
bihar,bettiah
bihar,economic offences unit
bihar,anti terrorist squad
chhattisgarh,balod
chhattisgarh,mungali
chhattisgarh,sukma
chhattisgarh,gaurela-pendra-marwari
chhattisgarh,sakti
goa,cid
gujarat,chhotaudepur
gujarat,cid crime
gujarat,dahod
gujarat,gir somnath
haryana,irrigation power
himachal pradesh,cid
himachal pradesh,cyber
jharkh,jamshedpur railway
karnataka,k.g.f.
karnataka,k.railways
kerala,all s
kerala,railways
kerala,trivrum commr.
kerala,trivrum rural
kerala,crime branch
madhya pradesh,cyber crime cell
manipur,cid
manipur,kakching
manipur,kamjong
manipur,kangpokpi
manipur,jiribam
manipur,noney
manipur,pherzawl
manipur,narcotic
meghalaya,cyber cell
mizoram,spl narcotic
mizoram,cyber
odisha,dcp ctc
punjab,fazilka
punjab,bureau of investigation
punjab,intelligence wing
punjab,nri wing
punjab,special task force
rajasthan,scrb
rajasthan,sog
rajasthan,ssb
tamil nadu,railway trichy
tamil nadu,cyber cell
tamil nadu,kallakurichi
tamil nadu,ranipet
tripura,gomati
tripura,kowai
tripura,unakoti
uttarakh,cyber cell
west bengal,asansol-durgapur pc
west bengal,bidhannagar pc
west bengal,hooghly rural police
west bengal,baruipur police
west bengal,channagar pc
west bengal,kalimpong
west bengal,sundarban police
west bengal,jangipur police
west bengal,krishnagar
west bengal,raiganj
west bengal,ranaghat
dadra nagar haveli daman diu,daman
dadra nagar haveli daman diu,diu
delhi,crime branch
delhi,metro
delhi,railway
delhi,spl cell
delhi,spuwac
delhi,vigilance
delhi,rohini
delhi,shahdara
delhi,dwarka
jammu kashmir,special crime wing kashmir
jammu kashmir,cyber crime kashmir
jammu kashmir,eow kashmir
jammu kashmir,cice kashmir
